753.2	24.0
752.2	26.2
751.2	27.0
750.2	26.7
749.2	25.5
748.2	24.0
747.2	24.2
746.2	23.6
745.2	23.1
744.2	23.4
743.2	23.3
742.2	23.3
741.2	24.3
740.2	25.3
739.2	25.6
738.2	27.3
737.2	29.2
736.2	29.1
735.2	29.2
734.2	28.9
733.2	26.4
732.2	26.4
731.2	27.5
730.2	28.5
729.2	28.4
728.2	27.4
727.2	28.2
726.2	28.7
725.2	27.9
724.2	25.2
723.2	24.3
722.2	24.5
721.2	24.9
720.2	23.2
719.2	23.4
718.2	26.8
717.2	28.8
716.2	27.8
715.2	25.9
714.2	27.6
713.2	27.5
712.2	25.2
711.2	24.4
710.2	24.7
709.2	25.0
708.2	23.6
707.2	23.8
706.2	26.1
705.2	28.7
704.2	29.1
703.2	27.7
702.2	27.6
701.2	28.9
700.2	29.6
699.2	28.8
698.2	25.5
697.2	27.2
696.2	26.1
695.2	22.8
694.2	24.2
693.2	26.8
692.2	25.6
691.2	24.1
690.2	22.7
689.2	23.2
688.2	24.4
687.2	26.5
686.2	25.1
685.2	23.7
684.2	25.7
683.2	25.2
682.2	22.9
681.2	21.8
680.2	22.2
679.2	24.5
678.2	26.3
677.2	26.7
676.2	25.8
675.2	26.2
674.2	28.7
673.2	31.3
672.2	29.2
671.2	27.4
670.2	27.9
669.2	25.8
668.2	25.1
667.2	25.9
666.2	25.8
665.2	25.8
664.2	25.9
663.2	25.6
662.2	25.2
661.2	25.4
660.2	26.0
659.2	25.8
658.2	24.3
657.2	25.9
656.2	26.6
655.2	24.6
654.2	24.1
653.2	25.0
652.2	24.8
651.2	24.3
650.2	25.9
649.2	27.2
648.2	26.3
647.2	25.1
646.2	24.3
645.2	26.0
644.2	26.7
643.2	24.5
642.2	28.7
641.2	32.3
640.2	31.4
639.2	26.8
638.2	25.4
637.2	26.3
636.2	26.1
635.2	26.7
634.2	27.9
633.2	25.8
632.2	24.6
631.2	25.6
630.2	26.8
629.2	25.4
628.2	24.1
627.2	25.8
626.2	25.2
625.2	24.9
624.2	25.7
623.2	27.8
622.2	28.9
621.2	28.9
620.2	27.8
619.2	25.6
618.2	21.5
617.2	24.9
616.2	26.1
615.2	26.2
614.2	28.2
613.2	29.2
612.2	26.8
611.2	24.8
610.2	25.8
